Information Gain,Column Number
1.70337,568
1.66623,492
1.65323,832
1.63083,93
1.60778,571
1.6072,201
1.55317,551
1.52628,122
1.50475,808
1.49235,308
1.48445,194
1.47134,270
1.46071,549
1.45864,196
1.44876,581
1.4178,615
1.40431,158
1.4039,476
1.37727,598
1.37459,586
1.35647,33
1.33408,807
1.33327,534
1.32793,531
1.32793,527
1.32726,157
1.3181,584
1.31744,585
1.31712,979
1.30359,779
1.28703,652
1.28158,1289
1.28075,690
1.28063,271
1.27682,975
1.27234,288
1.25597,575
1.25028,38
1.24292,478
1.24208,514
1.23008,513
1.22263,155
1.21088,42
1.20383,908
1.20145,506
1.19732,784
1.1959,519
1.18815,243
1.18627,320
1.18414,1103
1.16649,528
1.16649,529
1.16649,530
1.15862,1307
1.15258,256
1.14868,156
1.14793,977
1.14325,525
1.14142,583
1.13134,273
1.12977,109
1.12703,128
1.12252,612
1.09892,596
1.09863,272
1.09837,569
1.09835,533
1.09014,999
1.08978,855
1.07008,168
1.06725,573
1.06049,587
1.05867,1312
1.033,183
1.02742,515
1.02316,831
1.02315,204
1.01913,1368
1.01198,978
1.00532,544
1.00148,34
0.99851,289
0.99781,685
0.98662,325
0.98553,457
0.98387,187
0.97775,1080
0.97441,464
0.97292,1314
0.96713,482
0.96457,1354
0.96271,274
0.95604,421
0.95466,490
0.94667,79
0.94474,582
0.94023,277
0.93782,269
0.92773,524
0.92599,641
0.92546,592
0.91943,810
0.91639,629
0.91227,32
0.90907,781
0.90497,854
0.89947,835
0.8977,479
0.89753,806
0.89598,1161
0.89122,268
0.8895,541
0.88685,1273
0.88523,956
0.87503,323
0.87397,185
0.87025,523
0.86899,153
0.86491,488
0.86422,611
0.86352,1394
0.86311,437
0.86296,356
0.86182,486
0.86147,688
0.8576,35
0.85646,507
0.8545,880
0.84903,521
0.84557,547
0.84535,409
0.84535,907
0.84535,94
0.8443,244
0.8443,11
0.84239,522
0.83506,737
0.83447,48
0.83001,545
0.82886,580
0.82742,24
0.82572,684
0.8218,121
0.8211,12
0.81893,550
0.81786,1054
0.81672,929
0.81519,1395
0.81489,222
0.81313,512
0.81167,37
0.8091,163
0.80727,127
0.80721,110
0.80584,709
0.80556,203
0.80506,691
0.80234,360
0.80234,783
0.80012,503
0.79609,491
0.7938,951
0.79126,1039
0.77728,500
0.7771,1209
0.77706,302
0.77693,645
0.77673,1400
0.77502,624
0.77012,839
0.76733,1434
0.76547,602
0.76488,648
0.76322,536
0.76172,758
0.76169,1107
0.75464,387
0.75273,205
0.75155,190
0.75024,241
0.74878,780
0.74175,394
0.74127,462
