Information Gain,Column Number
0.0269517,1
0.0269517,1026
0.0269517,1045
0.0269517,429
0.0269517,426
0.0269517,414
0.0269517,409
0.0269517,433
0.0269517,438
0.0269517,439
0.0269517,469
0.0269517,474
0.0269517,457
0.0269517,1038
0.0269517,448
0.0269517,401
0.0269517,400
0.0269517,396
0.0269517,374
0.0269517,375
0.0269517,373
0.0269517,380
0.0269517,369
0.0269517,378
0.0269517,381
0.0269517,390
0.0269517,385
0.0269517,386
0.0269517,384
0.0269517,382
0.0269517,383
0.0269517,476
0.0269517,479
0.0269517,367
0.0269517,1024
0.0269517,508
0.0269517,503
0.0269517,502
0.0269517,501
0.0269517,500
0.0269517,998
0.0269517,512
0.0269517,995
0.0269517,525
0.0269517,526
0.0269517,991
0.0269517,517
0.0269517,518
0.0269517,1006
0.0269517,499
0.0269517,498
0.0269517,1021
0.0269517,482
0.0269517,481
0.0269517,488
0.0269517,1023
0.0269517,485
0.0269517,489
0.0269517,494
0.0269517,1011
0.0269517,492
0.0269517,1012
0.0269517,490
0.0269517,491
0.0269517,368
0.0269517,366
0.0269517,214
0.0269517,275
0.0269517,258
0.0269517,249
0.0269517,248
0.0269517,246
0.0269517,239
0.0269517,263
0.0269517,264
0.0269517,265
0.0269517,272
0.0269517,273
0.0269517,271
0.0269517,1153
0.0269517,1152
0.0269517,238
0.0269517,233
0.0269517,1182
0.0269517,220
0.0269517,221
0.0269517,218
0.0269517,223
0.0269517,217
0.0269517,222
0.0269517,224
0.0269517,231
0.0269517,229
0.0269517,230
0.0269517,228
0.0269517,1189
0.0269517,227
0.0269517,274
0.0269517,1144
0.0269517,364
0.0269517,276
0.0269517,335
0.0269517,334
0.0269517,333
0.0269517,332
0.0269517,1109
0.0269517,337
0.0269517,340
0.0269517,1098
0.0269517,354
0.0269517,358
0.0269517,353
0.0269517,349
0.0269517,351
0.0269517,330
0.0269517,319
0.0269517,313
0.0269517,280
0.0269517,282
0.0269517,278
0.0269517,291
0.0269517,277
0.0269517,286
0.0269517,292
0.0269517,1120
0.0269517,311
0.0269517,312
0.0269517,309
0.0269517,795
0.0269517,307
0.0269517,535
0.0269517,984
0.0269517,544
0.0269517,840
0.0269517,697
0.0269517,696
0.0269517,695
0.0269517,692
0.0269517,691
0.0269517,698
0.0269517,857
0.0269517,699
0.0269517,846
0.0269517,845
0.0269517,709
0.0269517,702
0.0269517,850
0.0269517,690
0.0269517,689
0.0269517,686
0.0269517,673
0.0269517,674
0.0269517,672
0.0269517,678
0.0269517,670
0.0269517,676
0.0269517,875
0.0269517,685
0.0269517,683
0.0269517,684
0.0269517,682
0.0269517,679
0.0269517,680
0.0269517,844
0.0269517,710
0.0269517,552
0.0269517,714
0.0269517,784
0.0269517,777
0.0269517,768
0.0269517,813
0.0269517,754
0.0269517,805
0.0269517,804
0.0269517,785
0.0269517,799
0.0269517,787
0.0269517,786
0.0269517,802
0.0269517,801
0.0269517,815
0.0269517,816
0.0269517,745
0.0269517,716
0.0269517,719
0.0269517,833
0.0269517,829
0.0269517,834
0.0269517,720
0.0269517,726
0.0269517,743
0.0269517,821
0.0269517,740
0.0269517,739
0.0269517,732
0.0269517,823
0.0269517,669
0.0269517,663
0.0269517,892
0.0269517,662
0.0269517,586
0.0269517,585
0.0269517,577
0.0269517,959
0.0269517,960
0.0269517,587
0.0269517,588
0.0269517,589
0.0269517,940
0.0269517,595
0.0269517,941
0.0269517,591
0.0269517,943
0.0269517,961
0.0269517,572
0.0269517,963
0.0269517,556
0.0269517,557
0.0269517,554
0.0269517,560
0.0269517,553
0.0269517,558
0.0269517,561
0.0269517,964
0.0269517,966
0.0269517,965
0.0269517,565
0.0269517,564
0.0269517,969
0.0269517,937
0.0269517,598
0.0269517,935
0.0269517,636
0.0269517,637
0.0269517,635
0.0269517,646
0.0269517,634
0.0269517,645
0.0269517,904
0.0269517,632
0.0269517,896
0.0269517,659
0.0269517,656
0.0269517,647
0.0269517,899
0.0269517,633
0.0269517,630
0.0269517,599
0.0269517,603
0.0269517,929
0.0269517,602
0.0269517,607
0.0269517,601
0.0269517,606
0.0269517,614
0.0269517,629
0.0269517,921
0.0269517,627
0.0269517,620
0.0269517,618
0.0269517,619
0.0269517,215
0.0269517,792
0.0269517,1323
0.0269517,136
0.0269517,93
0.0269517,94
0.0269517,1364
0.0269517,91
0.0269517,147
0.0269517,90
0.0269517,88
0.0269517,89
0.0269517,1370
0.0269517,96
0.0269517,101
0.0269517,141
0.0269517,110
0.0269517,139
0.0269517,109
0.0269517,140
0.0269517,108
0.0269517,103
0.0269517,105
0.0269517,106
0.0269517,107
0.0269517,1276
0.0269517,1275
0.0269517,84
0.0269517,77
0.0269517,1261
0.0269517,1329
0.0269517,1260
0.0269517,160
0.0269517,79
0.0269517,74
0.0269517,75
0.0269517,161
0.0269517,78
0.0269517,1381
0.0269517,1378
0.0269517,1270
0.0269517,1271
0.0269517,1268
0.0269517,1269
0.0269517,1267
0.0269517,1263
0.0269517,81
0.0269517,157
0.0269517,156
0.0269517,138
0.0269517,111
0.0269517,73
0.0269517,1350
0.0269517,1318
0.0269517,1319
0.0269517,1320
0.0269517,1317
0.0269517,1316
0.0269517,1315
0.0269517,1312
0.0269517,1313
0.0269517,1314
0.0269517,1334
0.0269517,1333
0.0269517,1321
0.0269517,1327
0.0269517,1330
0.0269517,1326
0.0269517,1331
0.0269517,1325
0.0269517,1322
0.0269517,212
0.0269517,1332
0.0269517,1324
0.0269517,1311
0.0269517,1310
0.0269517,1309
0.0269517,1340
0.0269517,1338
0.0269517,115
0.0269517,117
0.0269517,114
0.0269517,127
0.0269517,112
0.0269517,113
0.0269517,1346
0.0269517,120
0.0269517,126
0.0269517,1308
0.0269517,1306
0.0269517,1307
0.0269517,1305
0.0269517,124
0.0269517,1304
0.0269517,1300
0.0269517,1301
0.0269517,125
0.0269517,1303
0.0269517,162
0.0269517,76
0.0269517,72
0.0269517,1220
0.0269517,22
0.0269517,187
0.0269517,23
0.0269517,21
0.0269517,1439
0.0269517,19
0.0269517,14
0.0269517,16
0.0269517,1442
0.0269517,185
0.0269517,24
0.0269517,25
0.0269517,178
0.0269517,177
0.0269517,180
0.0269517,179
0.0269517,31
0.0269517,26
0.0269517,28
0.0269517,182
0.0269517,29
0.0269517,13
0.0269517,1448
0.0269517,34
0.0269517,1449
0.0269517,206
0.0269517,205
0.0269517,1455
0.0269517,4
0.0269517,207
0.0269517,209
0.0269517,2
0.0269517,210
0.0269517,3
0.0269517,203
0.0269517,202
0.0269517,201
0.0269517,7
0.0269517,8
0.0269517,1452
0.0269517,191
0.0269517,6
0.0269517,200
0.0269517,196
0.0269517,195
0.0269517,5
0.0269517,176
0.0269517,1328
0.0269517,174
0.0269517,1405
0.0269517,55
0.0269517,59
0.0269517,64
0.0269517,45
0.0269517,1413
0.0269517,53
0.0269517,46
0.0269517,50
0.0269517,1409
0.0269517,1411
0.0269517,65
0.0269517,66
0.0269517,68
0.0269517,1253
0.0269517,1391
0.0269517,169
0.0269517,56
0.0269517,70
0.0269517,1251
0.0269517,69
0.0269517,168
0.0215463,285
0.0215463,881
0.0215463,810
0.0215463,779
0.0215463,885
0.0215463,82
0.0215463,57
0.0215463,650
0.0215463,640
0.0215463,638
0.0215463,1456
0.0215463,657
0.0215463,979
0.0215463,54
0.0215463,877
0.0215463,575
0.0215463,957
0.0215463,958
0.0215463,843
0.0215463,594
0.0215463,648
0.0215463,626
0.0215463,593
0.0215463,945
0.0215463,581
0.0215463,849
0.0215463,853
0.0215463,97
0.0215463,836
0.0215463,1416
0.0215463,847
0.0215463,749
0.0215463,621
0.0215463,612
0.0215463,17
0.0215463,51
0.0215463,1347
0.0215463,864
0.0215463,1342
0.0215463,32
0.0215463,213
0.0215463,522
0.0215463,1112
0.0215463,1256
0.0215463,1254
0.0215463,321
0.0215463,1094
0.0215463,315
0.0215463,1245
0.0215463,344
0.0215463,151
0.0215463,1284
0.0215463,146
0.0215463,145
0.0215463,398
0.0215463,394
0.0215463,376
0.0215463,149
0.0215463,1272
0.0215463,171
0.0215463,304
0.0215463,300
0.0215463,204
0.0215463,193
0.0215463,194
0.0215463,1192
0.0215463,1134
0.0215463,1204
0.0215463,211
0.0215463,1177
0.0215463,240
0.0215463,252
0.0215463,253
0.0215463,175
0.0215463,257
0.0215463,256
0.0215463,255
0.0215463,254
0.0215463,406
0.0215463,302
0.0215463,462
0.0215463,1292
0.0215463,1294
0.0215463,427
0.0215463,428
0.0215463,137
0.0215463,465
