Information Gain,Column Number
0.473216,1040
0.348755,71
0.330441,807
0.328448,834
0.284233,308
0.281025,283
0.266158,858
0.253415,842
0.251214,165
0.235483,62
0.227157,1310
0.224463,60
0.215891,174
0.215224,223
0.214903,218
0.212215,173
0.210382,273
0.207087,855
0.206978,90
0.206929,51
0.206866,54
0.204513,144
0.203016,89
0.201371,58
0.198753,808
0.198327,175
0.197555,178
0.197427,72
0.197177,61
0.196455,177
0.195064,849
0.195051,191
0.193412,49
0.190598,77
0.188547,393
0.18852,105
0.187906,76
0.187736,198
0.187531,69
0.187448,255
0.187249,50
0.186864,306
0.186082,307
0.185946,840
0.184746,236
0.184602,1038
0.184089,329
0.183656,371
0.181885,384
0.181668,68
0.18087,82
0.180656,176
0.180283,81
0.179902,833
0.179756,423
0.179476,294
0.179434,279
0.178262,73
0.178249,180
0.177433,274
0.177282,327
0.176804,204
0.17676,80
0.176684,74
0.176367,160
0.175184,258
0.174835,78
0.173753,1036
0.173519,771
0.172844,677
0.172679,52
0.172577,927
0.17237,106
0.172227,326
0.172167,179
0.171773,484
0.171222,164
0.17039,605
0.170307,244
0.170012,801
0.169995,168
0.169525,486
0.168097,137
0.16801,366
0.166678,396
0.166463,305
0.166323,303
0.165805,1153
0.165522,116
0.165425,367
0.165391,468
0.164067,1041
0.163421,364
0.162928,1042
0.162745,368
0.162595,607
0.162362,315
0.161592,846
0.161226,403
0.161215,464
0.160847,250
0.160829,288
0.160739,471
0.160047,63
0.16002,79
0.1594,467
0.159374,606
0.159051,238
0.158818,226
0.15847,70
0.158327,614
0.158231,876
0.157924,110
0.15732,304
0.156762,416
0.156262,1048
0.155991,311
0.155869,827
0.155849,592
0.155755,212
0.155621,850
0.15538,800
0.155129,402
0.155106,397
0.154141,278
0.154031,57
0.153549,1017
0.153157,725
0.152458,296
0.152064,163
0.152055,593
0.150859,609
0.150814,999
0.150596,799
0.150502,911
0.150267,1037
0.149163,259
0.149049,830
0.148932,913
0.148865,53
0.148698,839
0.148677,829
0.14864,889
0.148615,398
0.147234,1148
0.146682,409
0.146417,604
0.146027,794
0.145943,1039
0.145461,75
0.14526,1238
0.145104,838
0.144821,1043
0.144697,613
0.144365,324
0.144225,59
0.144213,289
0.144187,679
0.144049,612
0.143786,295
0.143261,1444
0.143258,825
0.143193,297
0.142519,1464
0.141585,1050
0.140843,624
0.140786,837
0.140644,989
0.140533,323
0.13995,976
0.139905,600
0.139706,678
0.139656,601
0.139606,971
0.139428,815
0.139315,1034
0.139073,798
0.13901,1232
0.138823,1296
0.138527,810
0.138062,401
0.13782,1086
0.137629,462
0.137322,796
0.13707,1242
0.137004,1049
0.136899,926
0.136637,1079
0.13657,886
0.13646,979
0.136173,1239
0.1361,596
0.136079,1244
0.135857,929
0.135537,964
0.135031,172
0.134942,674
0.134907,841
0.134498,149
0.134448,811
0.134304,831
0.134191,1205
0.133858,466
0.133768,410
0.133656,602
0.132994,701
0.132837,826
0.132801,652
0.132773,828
0.132762,1173
0.132697,248
0.131991,963
0.131694,171
0.131644,1430
0.131447,1235
0.131397,1607
0.131086,199
0.130859,599
0.130606,185
0.13048,292
0.130433,1194
0.130366,113
0.129032,205
0.128987,707
0.128755,660
0.128658,1053
0.128379,932
0.127984,1471
0.127766,1005
0.12735,597
0.127148,662
0.12678,629
0.126502,917
0.126495,603
0.126099,852
0.125704,792
0.125391,246
0.125236,1493
0.12505,247
0.124707,186
0.124706,65
0.124532,1576
0.124478,48
0.123951,1046
0.123859,595
0.123651,1461
0.123632,399
0.123291,64
0.123186,287
0.123044,194
0.122141,1448
0.121717,1092
0.121455,1087
0.121194,645
0.12034,814
0.120323,915
0.120072,1593
0.119485,103
0.119466,1065
0.119396,626
0.11927,240
0.118874,1132
0.118184,227
0.117838,411
0.117253,945
0.116567,598
0.116502,187
0.116114,182
0.115431,861
0.114959,169
0.113572,646
0.112604,219
0.112221,209
0.111995,594
0.111822,301
0.111275,710
0.109938,894
0.109074,615
0.108544,286
0.106943,325
0.106545,55
0.106326,1199
0.106266,835
0.106039,285
0.105886,404
0.104176,961
0.102872,1107
0.102856,321
0.102368,217
0.102121,860
0.101745,302
0.101732,251
0.101697,631
0.100217,284
0.099845,804
0.099353,823
0.099193,608
0.099171,461
0.099025,115
0.098897,1292
0.098805,1289
0.098456,709
0.098375,136
0.09805,650
0.096529,485
0.096476,322
0.096303,656
0.096155,1170
0.095946,1299
0.095682,802
0.095514,693
0.095467,610
0.094544,1293
0.094531,1128
0.094324,408
0.09429,865
0.093561,1156
0.093335,1154
0.093072,135
0.093071,844
0.092882,857
0.092675,1139
0.092585,859
0.092231,181
0.091199,647
0.090506,313
0.090387,1282
0.09025,1136
0.08988,845
0.08903,847
0.088998,748
0.088613,1300
0.088331,803
0.087979,1303
0.087963,1068
0.087883,692
0.087617,1433
0.087404,381
0.08728,388
0.08691,713
0.086422,753
0.086203,836
0.085676,719
0.085507,864
0.085182,727
0.084981,201
0.084492,739
0.083983,742
0.083966,759
0.083687,1302
0.083098,918
0.082998,813
0.082967,309
0.082833,795
0.081781,758
0.081576,239
0.081491,1415
0.081034,856
0.080955,756
0.080617,140
0.080385,632
0.080297,1228
0.080201,755
0.079201,764
0.079112,47
0.078876,676
0.07833,310
0.078177,405
0.078028,619
0.07796,145
0.077195,183
0.076794,200
0.076724,184
0.076406,904
0.076174,150
0.075917,1457
0.075536,688
0.075476,148
0.075396,699
0.075008,383
0.07432,369
0.073963,197
0.073755,622
0.072702,658
0.072157,412
0.071234,805
0.070664,625
0.070596,633
0.070536,67
0.069456,1099
0.069166,138
0.068194,139
0.068126,937
0.067952,143
0.067774,245
0.067512,768
0.067047,192
0.066856,1110
0.066832,1016
0.066801,784
0.066727,1063
0.066473,1474
0.066202,1588
0.065495,1062
0.065461,1470
0.065451,234
0.065311,680
0.064919,208
0.064765,207
0.064722,202
0.064703,862
0.064616,102
0.064584,1478
0.064574,93
0.064571,231
0.064554,817
0.064472,206
0.064341,982
0.064273,210
0.06418,757
0.064092,747
0.064077,104
0.064069,1485
0.064029,249
0.06375,1342
0.063464,211
0.063393,203
0.063244,94
0.063051,788
0.062524,88
0.06251,277
0.062214,272
0.062094,92
0.062057,1071
0.062054,939
0.06205,391
0.061975,760
0.061944,241
0.061868,1204
0.061807,667
0.061631,992
0.061322,91
0.061231,1082
0.060585,256
0.060431,119
0.060067,196
0.060033,655
0.059981,1312
0.059972,1014
0.059969,195
0.059422,314
0.059331,1076
