Information Gain,Column Number
0.185643,482
0.168068,670
0.164416,484
0.163781,505
0.161226,600
0.159897,528
0.159029,66
0.158409,191
0.156329,1312
0.153373,607
0.152922,498
0.152872,233
0.152225,483
0.151514,1294
0.150599,1092
0.149276,567
0.148553,425
0.148081,146
0.147973,1271
0.14725,642
0.147204,519
0.147123,112
0.146653,301
0.146432,395
0.145907,189
0.145313,568
0.145313,72
0.145313,141
0.145313,277
0.145313,1282
0.145313,570
0.144884,95
0.144733,149
0.14438,608
0.144347,153
0.143349,874
0.142878,648
0.142807,107
0.142753,628
0.1418,406
0.141795,96
0.141529,606
0.141416,645
0.141402,359
0.14121,400
0.141193,569
0.14107,560
0.140946,771
0.14051,828
0.140482,559
0.140356,158
0.140113,190
0.139198,260
0.138397,144
0.138318,632
0.138193,320
0.13802,591
0.137902,291
0.137854,152
0.137705,734
0.137602,285
0.137327,353
0.136474,110
0.136447,1348
0.136389,67
0.136381,580
0.136335,639
0.136254,609
0.136047,780
0.135969,183
0.135947,667
0.135623,1290
0.135527,55
0.134907,142
0.134814,371
0.134671,450
0.134493,135
0.134453,113
0.134427,1227
0.134126,134
0.133437,881
0.13337,12
0.133294,408
0.133046,92
0.133008,388
0.132915,318
0.132858,728
0.132622,1343
0.132476,1014
0.132445,1211
0.132285,1210
0.132285,596
0.132285,156
0.132096,1023
0.132096,195
0.132044,673
0.13191,941
0.131907,1094
0.131907,363
0.131718,362
0.131718,657
0.131718,488
0.13162,880
0.131436,307
0.130391,751
0.130302,1235
0.130231,399
0.130044,313
0.129978,136
0.129827,384
0.129321,427
0.129294,576
0.129258,154
0.12914,171
0.12914,963
0.12914,722
0.12914,1153
0.12914,337
0.12914,143
0.12914,1298
0.128961,534
0.128961,1191
0.128961,856
0.128961,1193
0.128961,176
0.128961,310
0.128961,9
0.128961,430
0.128961,293
0.128961,525
0.128781,584
0.128781,212
0.128781,224
0.128781,247
0.128781,175
0.128781,373
0.128781,226
0.128781,227
0.128781,187
0.128781,1281
0.128781,225
0.128781,85
0.128781,303
0.128781,246
0.128781,261
0.128781,295
0.128781,481
0.128781,298
0.128781,299
0.128781,938
0.128781,773
0.128781,1198
0.128781,196
0.128781,270
0.128781,529
0.128781,111
0.128781,172
0.128781,646
0.128781,564
0.128781,245
0.128781,555
0.128781,148
0.128781,166
0.128781,244
0.128781,147
0.128781,174
0.128781,532
0.128781,184
0.128576,749
0.128169,672
0.128132,381
0.128049,598
0.128014,202
0.127307,56
0.126975,1129
0.126662,428
0.126505,604
0.126093,541
0.126093,1049
0.125895,759
0.125334,98
0.125101,615
0.124679,643
0.124467,1068
0.124349,356
0.124308,282
0.124218,745
0.124025,527
0.123978,383
0.123898,159
0.123898,610
0.123898,950
0.123898,1132
0.123531,770
0.122963,179
0.122629,640
0.122155,16
0.122103,378
0.121857,1060
0.121855,201
0.121718,479
0.121603,232
0.121312,783
0.120952,287
0.120952,1125
0.120952,386
0.120952,358
0.120815,748
0.120763,284
0.120758,1024
0.120746,926
0.120683,1248
0.120479,205
0.12035,429
0.120196,151
0.12014,352
0.119927,349
0.119881,109
0.119713,520
0.119644,665
0.119455,588
0.118828,590
0.118759,895
0.11874,1194
0.118548,1272
0.118467,954
0.118467,185
0.118462,1017
0.118406,796
0.118336,968
0.118175,603
0.118048,22
0.117972,376
0.117612,1121
0.117604,357
0.117597,1045
0.117588,927
0.117539,480
0.117513,1167
0.117513,1321
0.117435,893
0.117421,577
0.117378,760
0.116962,641
