Information Gain,Column Number
0.642064,223
0.642064,161
0.642064,379
0.642064,318
0.642064,1064
0.642064,464
0.642064,222
0.642064,1180
0.642064,50
0.642064,646
0.642064,382
0.642064,1175
0.642064,163
0.642064,1070
0.642064,637
0.642064,23
0.642064,1259
0.642064,246
0.642064,461
0.642064,255
0.642064,791
0.642064,649
0.642064,780
0.642064,651
0.642064,1222
0.642064,94
0.642064,482
0.642064,593
0.642064,150
0.642064,70
0.642064,320
0.642064,51
0.642064,561
0.642064,63
0.642064,961
0.642064,833
0.642064,958
0.642064,428
0.642064,183
0.642064,847
0.642064,495
0.642064,215
0.642064,65
0.642064,766
0.642064,170
0.642064,54
0.642064,1154
0.642064,662
0.642064,220
0.642064,1164
0.623324,648
0.623324,53
0.623324,1184
0.623324,84
0.619989,218
0.617509,1201
0.617509,458
0.615533,618
0.613889,413
0.606007,814
0.600963,8
0.595149,619
0.585062,385
0.584982,192
0.584982,168
0.584982,313
0.584982,431
0.584982,308
0.584982,129
0.584982,411
0.584982,613
0.575838,694
0.566286,256
0.557057,12
0.542906,239
0.542234,241
0.541907,1085
0.541585,378
0.541585,138
0.541427,253
0.541427,588
0.541427,748
0.541427,512
0.541427,429
0.541427,1155
0.541427,1258
0.541427,518
0.541427,68
0.541427,515
0.541427,448
0.541427,654
0.541427,216
0.541427,166
0.541427,381
0.541427,19
0.541427,1263
0.541427,517
0.541427,799
0.541427,669
0.541427,1255
0.541427,1140
0.541427,26
0.541427,532
0.541427,522
0.541427,287
0.541427,736
0.541427,251
0.541427,370
0.541427,531
0.541427,720
0.541427,533
0.541427,1132
0.541427,396
0.541427,644
0.541427,384
0.541427,412
0.541427,356
0.536535,676
0.532257,212
0.525675,69
0.522845,650
0.51703,72
0.515054,9
0.51498,1102
0.514535,560
0.508942,186
0.508084,203
0.507219,368
0.505726,157
0.505137,1179
0.50422,136
0.502928,137
0.502928,483
0.502928,569
0.502928,398
0.502928,567
0.502928,285
0.501133,466
0.501133,281
0.501091,1204
0.495948,160
0.489171,657
0.481089,91
0.476019,328
0.472704,787
0.469288,55
0.469152,221
0.468962,1296
0.468639,1135
0.468319,204
0.468001,535
0.468001,4
0.468001,224
0.468001,740
0.467686,1118
0.467686,430
0.467686,481
0.467686,460
0.467686,327
0.467686,184
0.467686,357
0.467686,557
0.467686,187
0.467686,1142
0.467686,366
0.467686,521
0.467686,900
0.467686,354
0.467686,519
0.467686,525
0.467686,556
0.467686,414
0.467686,22
0.467686,81
0.467686,232
0.467686,449
0.467686,159
0.467686,380
0.467686,552
0.467686,1191
0.467686,5
0.467686,589
0.467686,226
0.467686,631
0.467686,153
0.467686,15
0.467686,155
0.464199,1190
0.443446,400
0.435635,66
0.435635,205
0.434846,369
0.434846,491
0.434846,388
0.434846,347
0.434846,408
0.434846,140
0.434846,213
0.434846,551
0.434846,697
0.434846,534
0.434846,242
0.434846,245
0.434846,718
0.434846,812
0.434846,264
0.434846,305
0.434846,1116
0.433401,563
0.433401,433
0.417346,670
0.416498,508
0.410683,13
0.407562,1163
0.404375,329
0.403906,1219
0.403906,417
0.403906,849
0.403906,1086
0.403906,434
0.403906,520
0.403906,1211
0.403906,633
0.403906,857
0.403906,1185
0.403906,93
0.403906,402
0.403906,484
0.403906,1208
0.403906,383
0.403906,1218
0.403906,626
0.403906,1301
0.403906,524
0.403906,1298
0.403906,700
0.39935,52
0.397898,732
0.391579,64
0.389733,815
0.388102,322
0.379605,376
0.376741,625
0.375628,377
0.375079,1067
0.374533,131
0.374533,630
0.374533,459
0.374533,194
0.374533,730
0.374533,195
0.374533,185
0.374533,158
0.374533,565
0.374533,309
0.374533,1215
0.374533,169
0.374533,323
0.374533,546
0.374533,1186
0.374533,1182
0.374533,416
0.374533,164
0.374533,581
0.374533,165
0.374533,691
0.372471,1000
0.371823,359
0.3605,813
0.358891,277
0.355713,11
0.354511,89
0.351914,326
0.349647,954
0.347739,85
0.347431,781
0.346904,497
0.346492,35
0.346492,647
0.346492,293
0.346492,82
0.346492,1189
0.346492,34
0.346492,608
0.346492,49
0.346492,200
0.346492,463
0.346492,403
0.346492,1100
0.346492,299
0.346492,406
0.346492,755
0.346492,622
0.346492,1309
0.346492,306
0.346492,809
0.346492,653
0.346492,808
0.346492,83
0.346492,217
0.346492,453
0.346492,18
0.346492,701
0.340101,247
0.328372,86
0.325663,547
0.325037,395
0.325037,248
0.322482,693
0.322422,848
0.32171,712
0.321003,1143
0.321003,71
0.320301,348
0.320301,228
0.320301,620
0.319606,627
0.319606,570
0.319606,1158
0.319606,487
0.319606,467
0.319606,1112
0.319606,496
0.319606,511
0.319606,468
0.319606,485
0.319606,355
0.319606,591
0.319606,342
0.319606,504
0.319606,295
0.319606,432
0.319606,685
0.319606,1174
0.319606,523
0.319606,710
0.319606,48
0.319606,606
0.319606,1262
0.319606,188
0.319606,486
0.319606,558
0.319606,530
0.302561,202
0.294508,1005
0.294508,243
0.294508,1151
0.294508,714
0.294508,1266
0.293738,116
0.293738,880
0.293738,969
0.293738,655
0.293738,420
0.293738,800
0.293738,325
0.293738,364
0.293738,302
0.293738,617
0.293738,122
0.293738,941
0.293738,562
0.293738,360
0.293738,1297
0.284011,231
0.283521,275
0.273066,944
0.273066,1030
0.273066,599
0.270474,695
0.270474,707
0.269623,699
0.269623,555
0.268779,664
0.268779,1210
0.268779,171
0.268779,10
0.268779,1093
0.268779,1089
0.268779,851
0.268779,273
0.268779,568
0.268779,708
0.268779,1088
0.268779,717
0.268779,1038
0.268779,152
0.268779,238
0.268779,92
0.268779,154
0.268779,233
0.268779,345
0.268779,236
0.268779,702
0.268779,182
0.268779,280
0.268779,696
0.268779,1194
0.268779,288
0.268779,196
0.268779,311
0.268779,450
0.268779,307
0.268779,770
0.268779,303
0.268779,319
0.268779,454
0.268779,330
0.268779,331
0.268779,1176
0.268779,513
0.268779,283
0.268779,189
0.268779,683
0.268779,1253
0.268779,1134
0.268779,1119
0.268779,1091
0.268779,407
0.268779,151
0.268779,139
0.268779,266
0.268779,604
0.268779,108
0.268779,265
0.268779,628
0.268779,267
0.268779,119
0.268779,386
0.268779,616
0.268779,130
0.263665,14
0.260571,1244
0.254301,240
0.246482,930
0.245558,353
0.245068,595
0.244641,494
0.244641,80
0.244641,586
0.244641,114
0.244641,506
0.244641,1099
0.244641,321
0.244641,88
0.244641,107
0.244641,542
0.244641,1148
0.244641,873
0.244641,358
0.242828,1250
0.242299,684
0.236818,262
0.225255,953
0.223236,846
0.223236,705
0.222238,1141
0.222238,337
0.222238,777
0.222238,926
0.221248,1181
0.221248,254
0.221248,399
0.221248,783
0.221248,350
0.221248,1149
0.221248,1153
0.221248,990
0.221248,709
0.221248,550
0.221248,206
0.221248,438
0.221248,1217
0.221248,932
0.221248,501
0.221248,121
0.221248,292
0.221248,268
0.221248,304
0.221248,1041
0.221248,207
0.221248,789
0.221248,225
0.221248,397
0.221248,125
0.221248,312
0.221248,500
0.221248,115
0.221248,698
0.221248,156
0.221248,214
0.221248,455
0.221248,979
0.221248,110
0.221248,688
0.221248,741
0.221248,367
0.221248,1145
0.221248,235
0.221248,344
0.221248,141
0.221248,1103
0.221248,1104
0.221248,600
0.221248,598
0.221248,1087
0.221248,596
0.221248,341
0.221248,340
0.221248,575
0.221248,339
0.221248,272
0.221248,752
0.221248,1105
0.221248,1001
0.221248,582
0.221248,334
0.221248,1120
0.221248,1107
0.221248,282
0.221248,109
0.221248,577
0.221248,462
0.221248,401
0.221248,234
0.221248,469
0.221248,675
0.221248,244
0.221248,1108
0.221248,1110
0.221248,1114
0.221248,638
0.221248,1115
0.221248,1117
0.217773,1101
0.213457,947
0.213115,571
0.206419,784
0.206144,1076
0.202838,529
0.201751,250
0.199602,67
0.19854,219
0.19854,673
0.19854,300
0.19854,891
0.19854,7
0.19854,603
0.19854,592
0.19854,1265
0.19854,678
0.19854,1229
0.19854,801
0.19854,317
0.19854,819
0.19854,257
0.191771,713
0.188457,1139
0.182219,1294
0.179888,1026
0.177594,1028
0.177594,249
0.177594,1299
0.176461,472
0.176461,704
0.176461,227
0.176461,471
0.176461,230
0.176461,721
0.176461,636
0.176461,723
0.176461,510
0.176461,559
0.176461,540
0.176461,668
0.176461,554
0.176461,545
0.176461,665
0.176461,541
0.176461,493
0.176461,728
0.176461,679
0.176461,594
0.176461,505
0.176461,146
0.176461,470
0.176461,975
0.176461,118
0.176461,972
0.176461,1042
0.176461,960
0.176461,982
0.176461,993
0.176461,365
0.176461,96
0.176461,252
0.176461,1032
0.176461,95
0.176461,946
0.176461,940
0.176461,939
0.176461,147
0.176461,901
0.176461,410
0.176461,421
0.176461,148
0.176461,145
0.176461,919
0.176461,144
0.176461,915
0.176461,142
0.176461,404
0.176461,1036
0.176461,90
0.176461,850
0.176461,1249
0.176461,284
0.176461,31
0.176461,349
0.176461,1225
0.176461,17
0.176461,274
0.176461,270
0.176461,269
0.176461,3
0.176461,1305
0.176461,1291
0.176461,1221
0.176461,1207
0.176461,1171
0.176461,1121
0.176461,1078
0.176461,1069
0.176461,343
0.176461,1080
0.176461,332
0.176461,1168
0.176461,1129
0.176461,1159
0.176461,1157
0.176461,1156
0.176461,422
0.176461,124
0.176461,773
0.176461,828
0.176461,776
0.176461,436
0.176461,807
0.176461,771
0.176461,201
0.176461,211
0.176461,191
0.176461,734
0.176461,733
0.176461,439
0.176461,796
0.176461,778
0.176461,456
0.176461,769
0.172049,1033
0.154965,526
0.154965,544
0.154965,435
0.154965,548
0.154965,1177
0.154965,737
0.154965,527
0.154965,1122
0.154965,790
0.154965,584
0.154965,818
0.154965,1178
0.154965,952
0.154965,1214
0.154965,640
0.154965,680
0.153816,667
0.153039,635
0.151063,1002
0.149419,1083
0.14586,763
0.14569,1029
0.139175,361
0.138345,1053
0.137869,1022
0.135289,641
0.135289,1094
0.135289,338
0.135289,775
0.135289,785
0.135289,816
0.135289,855
0.135289,1098
0.134013,301
0.134013,310
0.134013,715
0.134013,804
0.134013,590
0.134013,803
0.134013,1227
0.134013,78
0.134013,79
0.134013,1304
0.134013,77
0.134013,271
0.134013,1209
0.134013,209
0.134013,711
0.134013,208
0.134013,286
0.134013,210
0.134013,1136
0.134013,788
0.134013,1133
0.134013,1068
0.134013,73
0.134013,1075
0.134013,465
0.134013,1303
0.134013,174
0.134013,802
0.134013,1031
0.134013,176
0.134013,945
0.134013,885
0.134013,943
0.134013,949
0.134013,951
0.134013,872
0.134013,870
0.134013,419
0.134013,179
0.134013,132
0.134013,177
0.134013,133
0.134013,181
0.134013,480
0.134013,645
0.134013,905
0.134013,143
0.134013,134
0.134013,178
0.134013,639
0.134013,681
0.134013,394
0.134013,180
0.134013,123
0.134013,666
0.134013,1006
0.134013,976
0.134013,175
0.134013,373
0.134013,731
0.134013,363
0.134013,117
0.133465,725
0.129862,1200
0.127875,1172
0.113953,844
0.113569,601
0.113569,922
0.113569,263
0.113569,1216
0.113569,1231
0.113569,290
0.113569,686
0.113569,489
0.113569,162
0.113569,56
0.113569,936
0.113569,437
0.113569,1292
0.113569,572
0.108757,1073
0.100786,1293
0.095016,689
0.095016,615
0.0936,32
0.0936,660
0.0936,658
0.0936,634
0.0936,1226
0.0936,621
0.0936,703
0.0936,574
0.0936,821
0.0936,336
0.0936,656
0.0936,314
0.089454,1147
0.080085,632
0.079868,1235
0.077059,965
0.077059,706
0.075564,779
0.074255,1003
0.07408,446
0.07408,427
0.07408,498
0.07408,478
0.07408,499
0.07408,479
0.07408,390
0.07408,502
0.07408,415
0.07408,333
0.07408,298
0.07408,335
0.07408,261
0.07408,173
0.07408,1044
0.07408,877
0.07408,895
0.07408,893
0.07408,782
0.07408,87
0.07408,199
0.07408,762
0.07408,767
0.07408,875
0.07408,1146
0.07408,722
0.07408,1123
0.07408,74
0.07408,76
0.07408,75
0.07408,1126
0.07408,57
0.07408,58
0.07408,172
0.07408,1128
0.07408,735
0.07408,43
0.07408,956
0.07408,111
0.07408,528
0.07408,1300
0.07408,1306
0.060501,692
0.05896,810
0.056589,772
0.054981,652
0.054981,825
0.054981,44
0.054981,45
0.054981,47
0.054981,112
0.054981,375
0.054981,553
0.054981,1295
0.054981,46
0.054981,289
0.054981,1220
0.054981,751
0.054981,659
0.04284,997
0.04284,957
0.04284,759
0.04284,566
0.037903,677
0.037903,1205
0.037903,1257
0.037903,1260
0.036282,99
0.036282,1035
0.036282,105
0.036282,1065
0.036282,100
0.036282,120
0.036282,103
0.036282,102
0.036282,101
0.036282,98
0.036282,1062
0.036282,516
0.036282,351
0.036282,106
0.036282,1027
0.036282,1018
0.036282,1017
0.036282,986
0.036282,1055
0.036282,62
0.036282,97
0.036282,104
0.036282,514
0.036282,61
0.036282,1232
0.036282,33
0.036282,36
0.036282,37
0.036282,20
0.036282,38
0.036282,39
0.036282,278
0.036282,16
0.036282,1113
0.036282,1290
0.036282,2
0.036282,1302
0.036282,1288
0.036282,1277
0.036282,1286
0.036282,1282
0.036282,40
0.036282,41
0.036282,42
0.036282,59
0.036282,324
0.036282,1137
0.036282,1127
0.036282,1203
0.036282,60
0.036282,1124
0.036282,1160
0.036282,1170
0.036282,1173
0.036282,1187
0.036282,1196
0.036282,315
0.036282,316
0.036282,1192
0.036282,1188
0.036282,963
0.036282,983
0.036282,786
0.036282,798
0.036282,805
0.036282,794
0.036282,797
0.036282,793
0.036282,423
0.036282,198
0.036282,197
0.036282,260
0.036282,806
0.036282,447
0.036282,445
0.036282,426
0.036282,425
0.036282,444
0.036282,190
0.036282,817
0.036282,440
0.036282,441
0.036282,443
0.036282,758
0.036282,749
0.036282,745
0.036282,602
0.036282,492
0.036282,490
0.036282,237
0.036282,539
0.036282,538
0.036282,537
0.036282,536
0.036282,229
0.036282,488
0.036282,473
0.036282,475
0.036282,474
0.036282,642
0.036282,476
0.036282,477
0.036282,682
0.036282,672
0.036282,671
0.036282,424
0.036282,442
0.036282,861
0.036282,418
0.036282,409
0.036282,896
0.036282,887
0.036282,902
0.036282,942
0.036282,405
0.036282,923
0.036282,933
0.036282,937
0.036282,950
0.036282,897
0.036282,391
0.036282,389
0.036282,871
0.036282,392
0.020077,629
0.019162,1034
0.016088,1239
0.01395,24
0.012576,1013
0.008156,643
0.007104,856
0.007104,858
0.007104,1310
0.007104,984
0.005308,852
0.005308,1236
0.005308,1271
0.005308,988
0.003525,853
0.003525,1007
0.003525,1023
0.003525,911
0.003525,1242
0.003525,964
0.003525,729
0.003525,1021
0.001756,1238
0.001756,393
0.001756,372
0.001756,128
0.001756,614
0.001756,1233
0.001756,929
0.001756,724
0.001756,928
0.001756,1198
0.001756,882
0.001756,774
0.001756,904
0.001756,452
0.001756,1167
0.001756,1050
0.001756,824
0.001756,1052
0.001756,854
0.001756,860
0.001756,1058
0.001756,1084
0.001756,918
0.001756,1014
0.001756,1202
0.001756,1008
0.000771,811
0,6
0,113
0,193
0,149
0,126
0,259
0,30
0,167
0,135
0,29
0,28
0,27
0,258
0,21
0,25
0,127
0,1312
0,276
0,1096
0,1047
0,1048
0,1049
0,1051
0,1054
0,1046
0,1045
0,1043
0,1025
0,1024
0,1037
0,1040
0,1039
0,1056
0,1057
0,1059
0,1082
0,1081
0,1090
0,1077
0,1092
0,1079
0,1074
0,1060
0,1063
0,1061
0,1066
0,1072
0,1071
0,1020
0,1019
0,1016
0,977
0,974
0,978
0,971
0,980
0,973
0,970
0,985
0,962
0,959
0,966
0,968
0,967
0,981
0,987
0,1015
0,1010
0,1009
0,1011
0,999
0,1012
0,1004
0,998
0,989
0,992
0,991
0,994
0,996
0,995
0,1095
0,1097
0,948
0,1106
0,1264
0,1267
0,1268
0,1269
0,1270
0,1261
0,1256
0,1254
0,1247
0,1246
0,1248
0,1252
0,1251
0,1272
0,1273
0,1274
0,1289
0,1287
0,1307
0,1284
0,1308
0,1285
0,1283
0,1275
0,1278
0,1276
0,1279
0,1281
0,1280
0,1245
0,1243
0,1241
0,1161
0,1152
0,1162
0,1144
0,1165
0,1150
0,1138
0,1169
0,1111
0,1109
0,1125
0,1131
0,1130
0,1166
0,1183
0,1240
0,1230
0,1228
0,1234
0,1223
0,1237
0,1224
0,1213
0,1193
0,1197
0,1195
0,1199
0,1212
0,1206
0,955
0,938
0,279
0,792
0,690
0,716
0,719
0,726
0,727
0,687
0,674
0,663
0,623
0,612
0,624
0,661
0,1311
0,738
0,739
0,742
0,761
0,760
0,764
0,756
0,765
0,757
0,754
0,743
0,746
0,744
0,747
0,753
0,750
0,611
0,610
0,609
0,387
0,374
0,451
0,362
0,457
0,371
0,352
0,507
0,294
0,291
0,296
0,346
0,297
0,503
0,509
0,607
0,587
0,585
0,597
0,580
0,605
0,583
0,579
0,543
0,564
0,549
0,573
0,578
0,576
0,768
0,795
0,935
0,820
0,894
0,898
0,899
0,903
0,906
0,892
0,890
0,889
0,883
0,881
0,884
0,888
0,886
0,907
0,908
0,909
0,927
0,925
0,931
0,921
0,934
0,924
0,920
0,910
0,913
0,912
0,914
0,917
0,916
0,879
0,878
0,876
0,835
0,834
0,836
0,831
0,837
0,832
0,830
0,839
0,823
0,822
0,826
0,829
0,827
0,838
0,840
0,874
0,867
0,866
0,868
0,864
0,869
0,865
0,863
0,841
0,843
0,842
0,845
0,862
0,859
0,1
